id,us,square,sub_square,preservation,length,width,thickness,thermal_alteration,edge_wear,patina
5.1,A2R,127,f,proximal,38.5,12.8,4.5,no,0,no
9.1,A2R,147,h,proximal,36.1,23.8,4.9,no,1,no
74.1,A2,117,i,mesial,31.7,27.6,9.5,no,0,no
91.1,A2,128,d,proximal,65.8,19,4.1,no,0,no
108.1,D3b alpha,39,g,proximal,38.8,32.3,10.2,no,0,gley1 6/N
111.1,A2R,125,c,mesial,20.8,20.2,5.6,no,1,no
125.1,A2,56,e,proximal,43.9,12.1,3.5,no,0,2.5Y 5/4
148.1,A2,127,g,proximal,36.7,16.7,6,no,0,10YR 6/6
159.1,A2,130,c,proximal,28.1,23.3,5.5,no,1,10YR 8/2
195.1,A2R,126,g,proximal,38.6,21.1,7.2,no,1,no
217.1,A2R,135,d,proximal,46.7,18,4.9,no,1,gley1 8/N-10Y
218.1,A2,118,g,proximal,29.9,16.3,6.8,no,0,gley1 7/10Y
5.2,A2R,127,f,distal,40.3,12.9,4.4,no,0,no
9.2,A2R,147,h,mesial,27.9,20.2,6.5,no,0,no
21.2,A2,56,e,distal,47.2,21.5,7,no,1,no
28.2,D3d,57,f,distal,24.2,12.2,2.9,no,1,no
80.2,A2,97,c,distal,30.9,18,5.1,no,0,10YR 8/2
96.2,A2R,137,c,distal,30.6,12.8,4.7,no,2,no
97.2,A2,136,h,mesial,21.5,16.3,5.2,no,1,gley1 6/N
100.2,A2,129,i,distal,41,19.3,5,no,1,gley1 8/N
106.2,A2,118,g,distal,32.3,22.9,8.8,no,0,no
135.2,A2R,125,a,distal,43.7,24.1,4.9,no,1,no
160.2,A2,128,e,distal,23.2,13,3.5,no,1,gley1 8/N
186.2,A2,117,b,distal,39.3,20.9,4.8,no,0,no
189.2,A2,127,g,mesial,34.3,19,4.4,no,1,5Y 8/1
195.2,A2R,116,a,distal,54.5,20.1,6.1,no,0,no
210.2,D3d,57,a,mesial,33,17.8,5.8,no,0,2.5Y 7/1
220.2,A2R,125,d,distal,39.2,19.6,9,no,0,10YR 8/2
227.2,D3d base,47,f,mesial,21.6,19.3,3.7,no,1,no
228.2,A2R,146,g,distal,28,17,6,no,0,no
229.2,A2,128,d,distal,25,20,8.8,no,1,no
97.3,D3a+b sabbie,136,g,distal,32.1,16.4,5.3,no,0,gley1 6-7/N
7.1,A2,97,c,proximal,21.2,24.7,4.2,no,0,no
13.1,D3b alpha,86,d,proximal,35.6,12.4,6.9,yes,0,7.5YR 6/3
14.1,A2,107,b,mesial,20.4,12.1,3.3,no,0,5YR 5/6
26.1,D3d base,76,i,proximal,30.1,19.2,5.6,no,0,no
39.1,A1,67,h,proximal,20.2,12.3,4.6,no,1,gley1 7/N
43.1,A1,67,a,proximal,56,18.9,5.9,no,0,7.5YR 8.5/2-1
45.1,A1,67,g,proximal,28.9,15.6,2.9,no,0,gley1 7/N-10Y
48.1,A1,56,e,proximal,25.8,12.4,2.1,no,0,gley1 6/N
50.1,D3b alpha,136,g,proximal,33.4,23.5,5.8,no,2,gley1 7/N
53.1,A2R,125,e,proximal,28,17.2,7.5,no,0,gley1 7/N-10Y
54.1,A2,96,c,proximal,52.2,23.9,6.2,no,0,no
56.1,D3d base,68,f,proximal,43.4,14.8,5.9,no,0,gley1 7/N-10Y
58.1,D3d,78,e,proximal,34,19.9,5.2,no,1,gley1 8/N-10Y
59.1,D3d base,68,a,proximal,20.5,14,4.2,no,0,gley2 7/5B
60.1,D3b alpha,77,h,proximal,22.2,21.9,6.2,yes,2,no
61.1,A2,90,i,mesial,23.1,13.6,3.3,no,0,no
63.1,A2,126,h,proximal,31.9,15.5,6.9,no,1,10YR 6/6-8
69.1,A2,96,g,proximal,35.2,26.1,5,no,0,no
80.1,A2R,137,i,proximal,31.6,19.2,6.7,no,1,10YR 8/3
81.1,A2,76,e,mesial,56.2,14.8,4.8,no,0,no
82.1,A2R,117,e,proximal,21.9,15.6,4.1,no,0,2.5Y 6/1
86.1,A2,56,c,mesial,16.8,15.3,3.3,no,0,gley1 8/10Y
92.1,A2R,137,b,mesial,26.5,15.5,5.9,no,0,no
96.1,D3a+b,136,e,mesial,18.7,14.2,4.6,no,1,no
100.1,D3a+b,126,b,proximal,45.1,18,4.8,no,2,gley1 7/N
101.1,A2,125,g,proximal,27,15.9,5.7,no,1,no
106.1,A2,107,h,proximal,24,20,4.6,no,0,no
109.1,A2,125,h,proximal,39,19.1,8.7,no,1,no
136.1,A2R,135,g,proximal,45.6,16,6.1,no,1,no
137.1,A2,125,e,proximal,37.1,17.4,3.9,no,1,gley1 6/N-10Y
139.1,D3a+b,136,e,mesial,21.4,19.6,4.9,no,1,no
141.1,A2,90,f,mesial,10.7,12.8,2.3,no,0,no
142.1,A2,118,i,proximal,17.8,12.9,3.4,no,1,no
143.1,A2,98,i,mesial,10.1,13,2.2,no,0,no
153.1,D3d,46,g,mesial,21.5,14.7,5.3,no,0,no
155.1,D3b alpha,68,e,proximal,24.2,13,4.4,no,0,no
156.1,D3b alpha,69,f,proximal,30.8,12.1,4.5,no,2,no
160.1,A2R,135,h,mesial,29.6,17.2,5,no,0,gley1 8/N-10Y
161.1,A2,125,h,proximal,24.1,13.1,2.5,no,1,10YR 8/2
168.1,D3+D6,135,a,mesial,18.5,18.4,3.6,no,0,no
172.1,A1,56,d,proximal,28.8,13,2.4,no,0,gley1 7/N
174.1,A2,98,g,proximal,26.1,13.4,5.6,no,0,no
178.1,A1,67,i,proximal,21.8,12.7,2.6,no,2,no
179.1,D3d base,67,e,proximal,23.7,12.1,2,no,1,gley1 7/N
184.1,A1,57,c,proximal,25.6,13.7,3,no,0,no
190.1,A2,90,f,proximal,22.4,21.6,4.3,no,0,gley2 5/10B
200.1,D3d,56,e,proximal,17.5,15.5,2.8,no,1,no
201.1,A2R,135,g,proximal,23.4,19.3,4,no,0,no
202.1,A2,125,h,proximal,34.2,20.5,5.4,no,0,10YR 8.5/1
205.1,A1,57,f,mesial,13.1,19.4,3.8,yes,1,10YR 8/1
207.1,D3d,76,i,mesial,41.2,12.6,5.4,no,0,5Y 8/1
213.1,A2,125,h,proximal,35.6,19.8,4.1,no,1,no
215.1,A2,136,f,proximal,25.7,13.7,3.5,no,0,no
221.1,D3a+b,147,a,proximal,21.5,13.2,2.9,no,0,no
222.1,D3d,87,g,mesial,17.8,13.8,4.4,no,0,no
246.1,D3b alpha,68,d,mesial,10.3,12.8,2,no,1,no
247.1,A2,125,d,proximal,25,13,5,yes,1,no
2.2,D3b,36,c,distal,11.6,22.2,6.2,no,0,no
7.2,A2,96,g,distal,20.7,27.4,4.3,no,1,no
22.2,A2,76,e,distal,42.3,33.2,12.3,no,1,gley1 7/N
30.2,D3d base,68,b,distal,30.4,15.7,6.3,no,1,no
32.2,A1,57,d,mesial,25.4,14.7,6.1,no,1,no
33.2,A2,56,e,distal,27.7,17,3.7,no,1,5Y 8/1
37.2,A1,56,e,distal,16.6,13.2,1.6,no,2,no
43.2,D3d base,76,i,distal,42.8,19.3,9.5,no,0,7.5YR 8.5/2
47.2,A1,67,c,distal,11.6,18,2.6,no,2,gley1 6/N
52.2,A2,56,f,distal,34.5,22.9,4.7,no,0,gley1 6/10Y
53.2,A2,135,h,distal,31.4,17.1,7.4,no,0,gley1 8/N-10Y
62.2,A2,56,d,distal,35,16,7,no,0,no
72.2,A2R,127,c,distal,29.7,21.9,5.3,yes,0,5Y 5/1
81.2,A2,76,c,distal,34.4,13.4,3.6,no,1,no
82.2,A1,57,f,mesial,19.9,18.9,5.1,no,0,2.5Y 6/2
90.2,A2,116,c,distal,34.5,18.2,4,no,1,2.5Y 6/4
102.2,A1,57,f,distal,18.9,19.5,5.7,no,0,no
110.2,A2,118,c,distal,36.4,19.9,4.4,no,0,no
112.2,D3d base,68,e,distal,19.9,19.9,3.9,no,0,no
114.2,A2,90,d,distal,22.8,13.1,3.5,yes,0,gley1 7/N
118.2,D3d,76,i,distal,14.9,13,3.8,no,1,gley1 7/N
125.2,A2,98,f,distal,29.9,12.9,3.5,no,1,2.5Y 6/4
127.2,A2,96,b,mesial,32.1,18.9,5.1,no,1,no
130.2,A1,56,a,distal,24,13.3,3.6,no,0,gley1 6/N-10Y
131.2,D3d base,57,b,distal,23.2,12.4,1.5,no,0,gley1 7/10Y
145.2,A2,90,i,distal,29.9,12.4,3,no,0,no
150.2,A2,125,a,distal,35.9,14.5,5.6,no,1,2.5Y 5/4
153.2,A1,57,h,mesial,37.9,15.8,5,no,0,no
154.2,D3b alpha,67,c,distal,20,12.2,2.8,no,0,no
155.2,D3b alpha,68,e,mesial,22.7,12.6,3.8,no,0,no
156.2,D3b alpha,69,f,mesial,31,13.1,4.9,no,2,no
161.2,A2R,125,a,distal,29.9,15.2,3.7,no,0,10YR 8/1
168.2,D3+D6,135,b,distal,23,18.3,3.8,no,0,no
172.2,A2,56,i,distal,33.7,13.3,3,no,0,gley1 7-8/N
197.2,A2,125,c,mesial,18.7,15.5,3.6,no,1,gley1 8/N
199.2,A2,106,b,distal,39.6,19.2,4.9,no,1,gley1 7/N
200.2,A2,56,e,distal,31,16.3,3.1,no,0,no
201.2,A2,126,f,mesial,15.8,18,4.5,no,0,no
202.2,A1,66,c,distal,21.9,24.1,3.9,no,0,gley1 7/N
203.2,A2,90,d,distal,35.2,18.5,7.8,yes,0,gley1 7/N
204.2,A2,56,c,distal,20.5,13.5,3.8,yes,2,no
214.2,A2,108,f,distal,39.8,25.5,4.8,no,1,2.5Y 8/1
221.2,A2,136,d,mesial,14.3,14.6,3,no,1,no
245.2,A2,125,h,distal,19.7,12.1,3.8,no,0,no
246.2,D3b alpha,77,e,mesial,15,12.5,1.9,no,1,no
247.2,A2,125,e,distal,25,13.1,6,yes,1,no
153.3,A2,56,e,distal,23.2,14.7,4.5,no,0,no
246.3,D3b alpha,68,c,distal,22.2,12.4,2.7,no,1,no
137.4,A2,125,e,mesial,38.3,22.3,8.6,no,0,gley1 6/N-10Y
246.4,D3b alpha,68,h,mesial,7,12.2,1.8,no,1,no
1.1,A1,62,c,proximal,44.5,37.4,10.5,no,1,gley1 8/N
2.1,D3b,20,b,mesial,47.2,27.2,6.6,no,0,no
3.1,A2,88,c,proximal,36.8,29.9,5.2,no,0,no
4.1,A2,78,h,proximal,15,14.4,2.5,no,0,no
6.1,A2,69,b,proximal,30.9,14.7,7,no,1,no
8.1,A1,58,a,proximal,29.1,14.9,4.7,no,1,no
10.1,A2,67,b,mesial,33.5,33.6,5.7,no,0,no
11.1,A2,66,h,proximal,28.8,19.4,4.3,no,1,no
12.1,D3d base,78,f,proximal,24,12,2.6,no,0,no
15.1,A2,66,h,proximal,31.3,24.5,4.8,no,0,no
16.1,A2,51,e,proximal,34.6,24.1,4.6,no,0,7.5YR 6/4
17.1,A2,55,f,proximal,18.1,14.6,3.3,no,0,no
18.1,A1,63,d,proximal,29.8,32.4,9.2,no,1,no
19.1,A1,72,i,proximal,16.4,12.1,2.5,no,1,no
20.1,A1,52,e,mesial,28.3,14.7,5.5,no,0,no
21.1,A2,65,g,proximal,27.8,20.8,6.3,no,0,no
22.1,A2,86,g,mesial,25.2,28.1,7.8,no,0,gley1 8/10Y
23.1,A1,72,f,proximal,22.8,38.3,12.7,no,0,no
24.1,A1,62,h,proximal,57.6,24.1,4.9,no,0,no
25.1,A1,52,c,proximal,16.4,16.8,5.2,no,1,gley1 8/N
27.1,A2,60,e,proximal,26.8,13.4,4.6,no,0,gley1 5/N-10Y
28.1,A2,67,g,proximal,24.3,12.3,2.7,yes,1,no
29.1,A2,68,i,proximal,38.8,12.9,4.8,no,0,gley2 6/10B
30.1,D3d base,59,d,proximal,25.6,16.4,7.3,no,0,no
31.1,D3b,66,i,mesial,18.4,13.5,3.3,no,0,gley1 7/N
32.1,A2,67,b,proximal,21.7,14,5.4,no,1,no
33.1,A2,55,f,mesial,33.8,19.1,4.3,no,0,2.5Y 7/1
34.1,A1,62,a,proximal,35.5,25.3,2.7,no,1,no
35.1,A2,66,g,mesial,16.7,14.4,4.9,no,0,no
36.1,A2,53,c,mesial,15.2,25.1,6.1,no,0,no
37.1,A2,50,g,mesial,20.3,12.3,1.7,no,1,no
38.1,A2,81,b,proximal,19.2,13,2.4,no,0,7.5YR 7/3
40.1,A2,65,e,proximal,30.3,17.5,3.5,no,0,10YR 7/1
41.1,A2,87,b,proximal,17.3,15.8,3.5,no,0,no
42.1,A2,69,e,proximal,37.6,23.6,4.2,no,0,no
44.1,A2,55,h,proximal,37.5,16.7,4.1,yes,0,no
46.1,A2,30,e,proximal,32.3,17.6,4.5,no,0,no
47.1,A1,75,g,proximal,22.8,19.8,3.3,no,0,gley2 6/10B
49.1,D3+D6,101,e,proximal,52,20.8,4.2,no,1,no
51.1,A1,63,d,proximal,30.2,19.1,5.3,no,1,no
52.1,A2,z40,c,proximal,29.1,20.6,4.2,no,1,gley1 7/10Y
55.1,A2,101,d,mesial,21.5,12.1,4.7,yes,0,7.5YR 5/6
57.1,A2,69,f,proximal,32.6,17.9,5.9,no,1,gley1 7/10Y
62.1,A2,45,g,mesial,36.8,17.9,8,no,1,no
64.1,D3+D6,102,b,proximal,78.7,17,8,no,0,no
65.1,A1,55,g,proximal,44.7,30,11.3,no,0,5YR 6/3
66.1,A2,92,d,proximal,57,13.7,3.3,no,0,2.5Y 6/4
67.1,A2,77,a,proximal,38.9,25,7,no,0,no
68.1,A2,79,d,proximal,22.3,17.2,3.4,no,0,no
70.1,A2,55,h,mesial,15.7,22.5,3.9,no,0,gley1 6/N
71.1,D3+D6,85,e,proximal,22.6,24.8,7.9,no,0,no
72.1,A2,88,a,proximal,34.7,24.2,6.5,no,0,2.5Y 6/1-2
73.1,A2,100,a,proximal,37.2,21.8,11.7,no,0,gley1 5/10Y
75.1,A1,56,i,proximal,24.3,18.4,4.4,no,2,no
76.1,A1,72,h,proximal,17.9,17,3.3,no,0,10YR 5/2
77.1,A2,100,c,proximal,31.5,22.2,4.2,no,1,no
78.1,A2,110,d,proximal,41.4,18.1,5,no,1,10YR 8.5/2
83.1,A2,92,c,proximal,31.8,24.6,9.6,no,1,gley1 8/N-10Y
84.1,A2,55,f,proximal,32.9,14.6,2.3,no,0,gley1 6/N
85.1,A2,66,g,proximal,25.3,16.6,3.6,no,1,10YR 8/1
87.1,A2,55,g,proximal,19,15.4,4.6,yes,1,no
88.1,A2,55,i,mesial,16.8,22.4,5.8,no,0,no
89.1,A1,61,c,mesial,24.2,18.7,3.7,no,1,gley1 7/N
90.1,A1,61,b,mesial,37.7,18.4,4.2,no,1,2.5Y 5/4
93.1,A2,67,f,proximal,20.5,17.3,3.2,no,0,no
94.1,D6,116,h,proximal,28.7,13.3,4.9,no,1,10YR 5/4
95.1,A2,110,d,mesial,24.8,19.9,5.3,no,1,no
97.1,D6,120,e,proximal,36.3,16.9,4.3,no,0,gley1 7/N
98.1,D6,107,e,proximal,38.4,14.4,4.6,no,1,no
99.1,A1,50,e,proximal,26.2,29,6.2,no,0,no
102.1,A2,66,e,proximal,24.3,15.7,3.8,yes,2,no
103.1,D3d base,47,f,proximal,26,13.4,2.2,no,1,no
104.1,A2,111,a,mesial,20.8,18,2.8,no,0,no
105.1,A2,110,a,mesial,44.6,22.3,5.6,no,0,gley1 7/N-10Y
107.1,A1,72,g,proximal,26.5,18.1,3.8,no,0,7.5YR 5/4
110.1,D6,118,e,proximal,23.9,15,3,no,1,no
112.1,A2,69,b,mesial,17.8,18.9,3.5,no,2,no
113.1,D6,101,g,proximal,33.4,15.7,4.6,no,0,no
114.1,A2,90,d,proximal,23.2,14.1,3.8,yes,0,7.5YR 4/2
115.1,A2,77,f,mesial,12.3,18,3.6,no,1,no
116.1,A2,102,h,proximal,29.8,17.9,5.8,yes,1,gley1 8/N
117.1,A1,59,c,mesial,16.9,12.8,3.9,no,1,no
118.1,A2,69,b,mesial,20,14.2,2.7,no,0,gley1 8/N-10Y
119.1,D3d base,68,b,proximal,35.8,16,4.2,no,0,gley1 5/N
120.1,A1,75,f,proximal,29.3,24.1,7.3,no,0,no
121.1,A1,75,a,proximal,33.6,17.2,4.7,no,0,no
122.1,A2,30,g,mesial,37.2,19.8,3.9,no,0,no
123.1,D6,87,c,proximal,46.5,20.4,4.3,no,0,10YR 6/4-6
124.1,A2,85,g,proximal,26.1,19.3,5.5,yes,0,10YR 6/3
126.1,D3d base,68,b,proximal,19,14.6,3.2,no,2,no
127.1,D6,101,h,proximal,34.3,18.1,6.1,no,1,no
128.1,D3d,65,e,mesial,36.9,17,8.3,no,0,10YR 7/3
129.1,D3b,40,a,proximal,20.6,13.3,2.6,no,1,no
130.1,D3d base,76,i,proximal,31.5,14.7,4,no,0,gley1 7/N-10Y
131.1,D3d base,67,f,proximal,16.9,12.3,1.7,no,1,gley1 7/N
132.1,A2,102,g,proximal,28.7,19.8,4.8,no,0,no
133.1,D6,90,e,proximal,24.2,18.2,6.3,no,2,no
134.1,A2,95,e,proximal,16,17.8,3.7,no,0,no
135.1,A2,105,e,proximal,19.8,22,3.2,no,1,no
138.1,A2,77,f,proximal,22,12.8,3.4,no,1,no
140.1,A1,60,i,proximal,28.3,20.4,4,no,0,no
144.1,A2,91,c,proximal,22.3,12.6,3,no,0,no
145.1,A2,66,b,proximal,21.5,12.9,3.1,no,1,no
146.1,A2,77,i,mesial,16,14.4,4.2,yes,1,no
147.1,A2,110,d,proximal,32.7,16.1,4.3,no,1,no
149.1,D3+D6,101,f,proximal,19.4,13.7,4.3,no,1,no
150.1,A2,110,d,mesial,34.2,14.2,5.3,no,1,2.5Y 6/4
151.1,D3d base,47,b,proximal,17.9,15.2,3.5,no,0,no
152.1,A2,115,f,mesial,19.9,16.4,6.4,yes,2,no
154.1,D3d base,67,f,proximal,26.2,12.2,2.8,no,1,no
